City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,uliastay,47.7417,96.8444,281.63,35,100,4.82,MN,1712895339
1,sur,22.5667,59.5289,303.27,53,98,2.19,OM,1712895339
2,fraile pintado,-23.9408,-64.7994,290.61,95,100,1.18,AR,1712895339
3,arteche,12.2645,125.4048,303.34,64,72,3.58,PH,1712895514
4,ocean shores,46.9737,-124.1563,282.25,94,100,3.96,US,1712895514
5,tazovsky,67.4667,78.7,256.23,82,100,10.09,RU,1712895515
6,isafjordur,66.0755,-23.124,268.76,92,100,11.83,IS,1712895515
7,grytviken,-54.2811,-36.5092,272.44,74,25,4.64,GS,1712895515
8,ushuaia,-54.8,-68.3,277.14,97,90,2.42,AR,1712895291
9,port-aux-francais,-49.35,70.2167,279.19,88,100,7.42,TF,1712895515
10,ormond-by-the-sea,29.3491,-81.0665,294.26,73,40,9.26,US,1712895516
11,petropavlovsk-kamchatsky,53.0452,158.6483,280.48,31,0,4.0,RU,1712895516
12,olonkinbyen,70.9221,-8.7187,265.99,89,100,9.25,SJ,1712895516
13,kafr asad,32.5983,35.7124,287.32,90,1,0.99,JO,1712895516
14,sitka,57.0531,-135.33,279.09,65,75,6.17,US,1712895517
15,mili,6.0815,171.735,299.87,87,100,7.27,MH,1712895517
16,beldanga,23.9333,88.25,306.59,25,25,1.97,IN,1712895517
17,hadibu,12.65,54.0333,301.09,71,59,1.51,YE,1712895517
18,ust-nera,64.5667,143.2,271.61,82,68,3.02,RU,1712895518
19,georgetown,5.4112,100.3354,306.45,66,20,3.6,MY,1712895289
20,longyearbyen,78.2186,15.6401,257.06,60,40,2.06,SJ,1712895518
21,blackmans bay,-43.0167,147.3167,291.22,76,93,3.08,AU,1712895518
22,new norfolk,-42.7826,147.0587,291.87,82,100,1.32,AU,1712895519
23,adamstown,-25.066,-130.1015,294.97,52,40,6.07,PN,1712895519
24,avarua,-21.2078,-159.775,301.18,89,75,8.75,CK,1712895246
25,st. john's,47.5649,-52.7093,274.25,81,0,10.29,CA,1712895519
26,mumbwa,-14.9783,27.0619,291.9,94,100,3.12,ZM,1712895519
27,iqaluit,63.7506,-68.5145,267.0,79,100,6.17,CA,1712895520
28,labrador city,52.9463,-66.9114,276.03,62,100,4.47,CA,1712895520
29,papatowai,-46.5619,169.4708,282.42,67,85,2.18,NZ,1712895520
30,qaqortoq,60.7167,-46.0333,264.28,85,14,2.96,GL,1712895520
31,port mathurin,-19.6833,63.4167,300.06,75,25,4.93,MU,1712895521
32,sishui,35.6489,117.2758,298.57,36,0,4.85,CN,1712895521
33,ribeira grande,38.5167,-28.7,289.14,94,8,1.79,PT,1712895521
34,waitangi,-43.9535,-176.5597,290.27,93,97,4.92,NZ,1712895521
35,port macquarie,-31.4333,152.9167,296.98,68,13,4.35,AU,1712895427
36,julio de castilhos,-29.2269,-53.6817,288.8,98,100,6.63,BR,1712895522
37,fortaleza,-3.7227,-38.5247,301.6,89,20,1.54,BR,1712895044
38,ixtapa,20.7,-105.2,296.05,88,0,1.54,MX,1712895522
39,bredasdorp,-34.5322,20.0403,285.37,79,34,2.78,ZA,1712895522
40,ilulissat,69.2167,-51.1,266.16,93,100,1.54,GL,1712895522
41,aasiaat,68.7098,-52.8699,265.08,97,100,2.98,GL,1712895523
42,west island,-12.1568,96.8225,302.14,74,40,4.63,CC,1712895523
43,albany,42.6001,-73.9662,289.03,82,100,2.68,US,1712894982
44,puerto ayora,-0.7393,-90.3518,298.46,98,83,0.89,EC,1712895523
45,tiksi,71.6872,128.8694,251.7,85,14,8.73,RU,1712895523
46,tura,25.5198,90.2201,307.86,21,3,1.82,IN,1712895524
47,thompson,55.7435,-97.8558,272.62,94,100,1.81,CA,1712895370
48,west bay,19.3667,-81.4167,301.19,90,0,1.54,KY,1712895524
49,margaret river,-33.95,115.0667,296.9,44,41,1.93,AU,1712895524
50,udachny,66.4167,112.4,257.29,72,79,4.99,RU,1712895524
51,wailua homesteads,22.0669,-159.378,295.59,92,100,6.17,US,1712895525
52,lompoc,34.6391,-120.4579,289.23,96,100,2.57,US,1712895308
53,pisco,-13.7,-76.2167,295.18,83,0,4.12,PE,1712895525
54,flin flon,54.7682,-101.865,274.19,79,100,1.58,CA,1712895319
55,port elizabeth,-33.918,25.5701,287.77,78,20,4.63,ZA,1712895525
56,vila franca do campo,37.7167,-25.4333,291.42,99,77,1.36,PT,1712895526
57,edinburgh of the seven seas,-37.0676,-12.3116,291.93,92,36,8.1,SH,1712895526
58,gorontalo,0.5412,123.0595,304.29,58,100,1.66,ID,1712895526
59,grande prairie,55.1667,-118.8027,282.25,40,75,2.06,CA,1712895526
60,vallenar,-28.5708,-70.7581,290.7,68,99,0.9,CL,1712895526
61,haiku-pauwela,20.9219,-156.3051,297.16,79,40,3.6,US,1712895527
62,punta cana,18.5818,-68.4043,300.02,78,20,6.17,DO,1712895527
63,minas de marcona,-15.2119,-75.1103,290.34,80,100,3.8,PE,1712895527
64,lamar,33.6668,-95.5836,289.1,51,0,4.63,US,1712895527
65,gurupi,-11.7292,-49.0686,296.58,76,92,1.97,BR,1712895528
66,vorgashor,67.5833,63.95,266.93,95,100,6.24,RU,1712895528
67,ta`u,-14.2336,-169.5144,302.38,76,40,4.97,AS,1712895528
68,bilibino,68.0546,166.4372,266.43,73,89,1.78,RU,1712895528
69,machico,32.7,-16.7667,297.43,35,0,4.63,PT,1712895528
70,puerto quijarro,-17.7833,-57.7667,297.05,93,100,0.84,BO,1712895529
71,yellowknife,62.456,-114.3525,275.6,80,60,1.79,CA,1712895231
72,whitehorse,60.7161,-135.0538,277.58,35,75,6.69,CA,1712895516
73,youghal,51.95,-7.8506,283.71,100,100,5.89,IE,1712895530
74,bethel,41.3712,-73.414,289.62,89,100,5.66,US,1712895530
75,puerto natales,-51.7236,-72.4875,275.66,92,37,2.09,CL,1712895446
76,kiunga,-6.1219,141.2906,300.77,78,100,0.99,PG,1712895504
77,daru,-9.0763,143.2092,300.29,84,100,5.37,PG,1712895530
78,kodiak,57.79,-152.4072,276.88,93,75,0.0,US,1712895530
79,stanley,54.868,-1.6985,283.58,88,100,5.14,GB,1712895288
80,ozernyy,55.5802,32.4127,281.98,71,100,5.31,RU,1712895531
81,klaksvik,62.2266,-6.589,281.66,92,72,13.91,FO,1712895531
82,rabigh,22.7986,39.0349,296.49,54,33,2.53,SA,1712895531
83,port alfred,-33.5906,26.891,286.58,80,98,2.68,ZA,1712895532
84,nagqu,31.5,92.0,276.93,17,100,8.3,CN,1712895532
85,chelak,39.9203,66.8611,289.57,79,100,4.28,UZ,1712895532
86,yeppoon,-23.1333,150.7333,300.03,67,0,7.39,AU,1712895532
87,chonchi,-42.6128,-73.8092,279.33,73,0,0.86,CL,1712895532
88,guerrero negro,27.9769,-114.0611,290.06,78,100,6.19,MX,1712895533
89,nouadhibou,20.931,-17.0347,291.15,87,0,6.13,MR,1712895533
90,selfoss,63.9331,-20.9971,275.4,94,100,2.63,IS,1712895533
91,thakhek,17.4103,104.8307,307.21,28,7,2.6,LA,1712895533
92,invercargill,-46.4,168.35,283.72,79,90,1.34,NZ,1712895533
93,klyuchi,52.2667,79.1667,273.26,42,4,1.57,RU,1712895534
94,lihue,21.9789,-159.3672,295.92,91,100,4.63,US,1712895284
95,chibougamau,49.9168,-74.3659,277.94,100,100,4.12,CA,1712895534
96,kapuskasing,49.4169,-82.4331,281.2,66,100,2.06,CA,1712895534
97,uturoa,-16.7333,-151.4333,302.1,77,63,8.97,PF,1712895534
98,tocopilla,-22.092,-70.1979,293.44,82,16,2.34,CL,1712895375
99,marsa alam,25.0757,34.8918,295.4,38,30,3.94,EG,1712895535
100,kelso,46.1468,-122.9084,284.53,93,100,0.45,US,1712895535
101,geraldton,-28.7667,114.6,302.38,37,3,3.09,AU,1712895381
102,vikulovo,56.8167,70.6107,275.64,74,100,9.1,RU,1712895536
103,mount isa,-20.7333,139.5,302.02,24,2,4.12,AU,1712895536
104,atafu village,-8.5421,-172.5159,303.13,73,95,3.6,TK,1712895536
105,touros,-5.1989,-35.4608,299.3,88,98,2.18,BR,1712895537
106,trairi,-3.2778,-39.2689,297.7,94,99,1.44,BR,1712895419
107,al jawf,29.5,38.75,290.3,42,0,2.61,SA,1712895537
108,tumayr,25.7039,45.868,294.59,45,6,3.53,SA,1712895537
109,christchurch,-43.5333,172.6333,285.67,88,100,7.72,NZ,1712895275
110,ancud,-41.8697,-73.8203,281.63,70,0,2.84,CL,1712895538
111,vung tau,10.346,107.0843,303.05,68,89,9.58,VN,1712895538
112,taounate,34.5,-4.8333,286.05,40,9,3.59,MA,1712895538
113,acarau,-2.8856,-40.12,299.42,87,100,1.96,BR,1712895473
114,kabale,-1.2486,29.9899,287.44,92,55,1.0,UG,1712895539
115,luderitz,-26.6481,15.1594,296.01,39,0,3.26,NA,1712895539
116,bardai,11.65,7.2333,300.61,11,100,3.97,NG,1712895539
117,enewetak,11.3474,162.3373,299.92,80,78,8.9,MH,1712895539
118,horta,38.5333,-28.6333,288.72,94,14,1.79,PT,1712895539
119,el calafate,-50.3408,-72.2768,278.57,62,26,1.77,AR,1712895540
120,antofagasta,-23.65,-70.4,291.51,84,55,2.1,CL,1712895540
121,buncrana,55.1333,-7.45,284.59,91,100,4.49,IE,1712895540
122,bikenibeu village,1.3673,173.1241,303.13,74,20,3.6,KI,1712895540
123,fale old settlement,-9.3852,-171.2468,303.33,70,53,3.61,TK,1712895541
124,pursat,12.3333,103.6667,308.91,34,95,1.72,KH,1712895435
125,newman,37.3138,-121.0208,296.07,76,0,1.79,US,1712895351
126,buka,40.8108,69.1986,290.52,72,100,3.77,UZ,1712895541
127,chui,-33.6971,-53.4616,290.7,57,52,3.57,UY,1712895541
128,soio,-6.1349,12.3689,299.92,83,100,3.24,AO,1712895541
129,togur,58.3631,82.8265,264.34,67,16,0.89,RU,1712895542
130,dauphin,51.1494,-100.0502,275.81,93,98,1.69,CA,1712895270
131,tolanaro,-25.0319,46.9987,294.42,85,100,3.56,MG,1712895542
132,figuig (centre),32.1089,-1.2286,282.89,46,17,3.51,MA,1712895542
133,langepas,61.2544,75.2124,265.33,84,100,9.46,RU,1712895376
134,hermanus,-34.4187,19.2345,285.82,79,54,5.94,ZA,1712895543
135,karungdong,5.8844,121.263,302.08,72,97,1.42,PH,1712895543
136,sungai raya,0.7,108.9,301.94,80,82,1.13,ID,1712895543
137,mirny,62.5353,113.9611,257.17,86,98,1.79,RU,1712895543
138,talcahuano,-36.7167,-73.1167,284.42,88,0,0.77,CL,1712895544
139,nova sintra,14.8667,-24.7167,295.64,76,8,5.28,CV,1712895544
140,tidjikja,18.5564,-11.4271,302.5,14,16,5.7,MR,1712895544
141,huarmey,-10.0681,-78.1522,295.57,84,69,3.95,PE,1712895544
142,garden city,42.3256,-83.331,281.56,94,100,8.75,US,1712895348
143,nemuro,43.3236,145.575,278.86,92,100,6.83,JP,1712895545
144,marsabit,2.3284,37.9899,293.24,85,62,4.32,KE,1712895545
145,ust-tsilma,65.441,52.1498,274.6,99,100,7.6,RU,1712895545
146,sawakin,19.1059,37.3321,297.01,55,7,3.57,SD,1712895545
147,remire-montjoly,4.9167,-52.2667,300.17,89,75,3.09,GF,1712895545
148,richards bay,-28.783,32.0377,289.08,61,19,4.82,ZA,1712895546
149,brookings,44.3114,-96.7984,278.76,87,0,4.12,US,1712895546
150,nova xavantina,-14.6667,-52.35,296.32,92,36,0.71,BR,1712895546
151,hamilton,39.1834,-84.5333,284.69,82,75,8.23,US,1712895481
152,greenville,35.6127,-77.3663,296.24,91,100,9.77,US,1712895409
153,shakiso,5.75,38.9167,288.95,97,92,1.52,ET,1712895547
154,dolbeau-mistassini,48.8763,-72.212,279.41,91,100,6.3,CA,1712895547
155,khandyga,62.6667,135.6,273.54,100,100,3.95,RU,1712895547
156,dudinka,69.4058,86.1778,249.08,95,50,5.36,RU,1712895547
157,kharp,66.8014,65.8081,270.21,96,100,2.5,RU,1712895548
158,siran,40.1894,39.1267,281.35,84,38,1.99,TR,1712895548
159,arraial do cabo,-22.9661,-42.0278,297.67,86,34,2.11,BR,1712895381
160,wynyard,-41.0,145.7167,290.72,61,74,4.98,AU,1712895548
161,blackwater,-23.5833,148.8833,301.56,29,0,4.27,AU,1712895548
162,neyriz,29.1988,54.3278,288.33,65,0,1.29,IR,1712895549
163,fort st. john,56.2499,-120.8529,277.77,73,100,2.22,CA,1712895402
164,coracora,-15.0333,-73.7833,286.31,79,100,1.04,PE,1712895549
165,hammerfest,70.6634,23.6821,274.4,80,100,2.06,NO,1712895549
166,nashville,36.1659,-86.7844,286.75,87,75,5.14,US,1712895193
167,nadym,65.5333,72.5167,264.24,93,100,13.65,RU,1712895550
168,sao joao da barra,-21.6403,-41.0511,297.91,85,10,1.11,BR,1712895550
169,dunedin,-45.8742,170.5036,283.04,84,100,1.79,NZ,1712895339
170,saldanha,-33.0117,17.9442,286.18,68,17,3.92,ZA,1712895550
171,kralendijk,12.15,-68.2667,301.14,78,3,6.69,BQ,1712895378
172,shahrisabz,39.0578,66.8342,291.42,60,100,1.63,UZ,1712895551
173,peterhead,57.5058,-1.7981,283.96,91,93,6.42,GB,1712895551
174,pimentel,-6.8367,-79.9342,298.31,69,0,3.09,PE,1712895551
175,poltavka,54.3663,71.7632,275.98,67,94,7.1,RU,1712895551
176,tobelo,1.7284,128.0095,302.04,70,68,3.31,ID,1712895551
177,kingscliff,-28.2667,153.5667,299.23,61,75,6.69,AU,1712895552
178,port saint john's,-31.6229,29.5448,287.75,65,20,5.41,ZA,1712895552
179,tahe,52.3333,124.7333,278.59,82,100,1.19,CN,1712895552
180,launceston,-41.45,147.1667,293.23,52,72,5.66,AU,1712895319
181,westport,41.1415,-73.3579,290.16,91,100,7.2,US,1712895552
182,hasaki,35.7333,140.8333,289.37,83,100,4.9,JP,1712895553
183,coquimbo,-29.9533,-71.3436,288.3,82,7,0.63,CL,1712894912
184,kerikeri,-35.2268,173.9474,296.43,69,0,3.34,NZ,1712895553
185,san jeronimo de juarez,17.1333,-100.4667,298.25,76,1,1.19,MX,1712895553
186,broken hill,-31.95,141.4333,292.27,37,66,4.1,AU,1712895504
187,san luis de la loma,17.2706,-100.8939,298.68,75,3,1.27,MX,1712895554
188,el bauga,18.262,33.9081,294.53,18,19,5.02,SD,1712895554
189,villa yapacani,-17.4,-63.8333,294.68,80,100,2.3,BO,1712895554
190,nuku'alofa,-21.1333,-175.2,302.34,79,20,3.6,TO,1712895555
191,karratha,-20.7377,116.8463,303.86,46,0,4.82,AU,1712895555
192,puerto baquerizo moreno,-0.9,-89.6,298.24,88,53,3.49,EC,1712895555
193,bubaque,11.2833,-15.8333,297.26,69,1,6.63,GW,1712895555
194,bamboo flat,11.7,92.7167,306.2,66,20,4.12,IN,1712895555
195,college,64.8569,-147.8028,277.84,48,75,2.57,US,1712895338
196,sandnessjoen,66.0217,12.6316,277.27,81,75,6.17,NO,1712895556
197,queenstown,-31.8976,26.8753,276.14,88,0,0.68,ZA,1712895309
198,anadyr,64.75,177.4833,265.43,85,6,6.0,RU,1712895557
199,pointe-noire,-4.7761,11.8635,299.7,85,99,3.13,CG,1712895557
200,hawaiian paradise park,19.5933,-154.9731,295.39,98,100,2.57,US,1712895557
201,trinidad,-14.8333,-64.9,296.94,98,94,2.16,BO,1712895557
202,seoni,22.0833,79.5333,301.5,40,98,2.94,IN,1712895557
203,zhangjiakou shi xuanhua qu,40.6103,115.0447,297.46,22,10,2.3,CN,1712895558
204,crane,31.3974,-102.3501,293.15,20,1,6.19,US,1712895558
205,concordia,-31.393,-58.0209,290.25,74,100,4.92,AR,1712895531
206,santa helena,-2.2311,-45.3,297.34,99,51,0.61,BR,1712895558
207,jumla,29.2747,82.1838,287.02,28,19,2.63,NP,1712895558
208,rio grande,-32.035,-52.0986,293.3,61,100,6.45,BR,1712895559
209,kirchentellinsfurt,48.5332,9.1473,281.31,82,0,0.0,DE,1712895559
210,manakara,-22.1333,48.0167,296.82,93,100,2.26,MG,1712895559
211,nadvoitsy,63.8667,34.3167,274.85,92,100,3.45,RU,1712895559
212,sinabang,2.4803,96.3801,303.67,66,68,1.8,ID,1712895560
213,mount pearl,47.5166,-52.7813,273.79,82,6,2.68,CA,1712895488
214,huron,41.1501,-82.5499,285.14,95,100,6.35,US,1712895560
215,sept-iles,50.2001,-66.3821,275.44,94,100,4.63,CA,1712895560
216,ryki,51.6257,21.9327,282.07,66,83,2.93,PL,1712895561
217,constantia,44.1833,28.65,288.54,87,18,3.54,RO,1712895391
218,jiaojiang,28.6803,121.4428,291.69,91,100,2.16,CN,1712895561
219,iskateley,67.6803,53.1512,269.83,98,100,6.26,RU,1712895561
220,brisas de zicatela,15.8369,-97.0419,300.0,77,63,2.87,MX,1712895562
221,ayapel,8.3137,-75.1398,300.17,85,61,1.78,CO,1712895562
222,nuuk,64.1835,-51.7216,269.49,80,20,2.57,GL,1712895562
223,charters towers,-20.1,146.2667,302.15,31,0,4.29,AU,1712895562
224,ola,59.5833,151.2833,272.67,90,42,0.98,RU,1712895562
225,utrik,11.2278,169.8474,299.91,75,100,8.36,MH,1712895563
226,necochea,-38.5473,-58.7368,282.14,75,99,2.92,AR,1712895281
227,umm kaddadah,13.6017,26.6876,295.21,14,17,5.94,SD,1712895563
228,san patricio,28.017,-97.5169,295.28,48,4,3.34,US,1712895563
229,itamaraca,-7.7478,-34.8256,302.18,85,36,1.78,BR,1712895564
230,kabalo,-6.05,26.9167,294.72,97,61,1.55,CD,1712895374
231,tralee,52.2704,-9.7026,284.28,98,100,2.77,IE,1712895564
232,gordon,34.5004,-84.8666,286.19,90,100,2.57,US,1712895564
233,saint joseph,39.7686,-94.8466,281.72,56,0,2.06,US,1712895401
234,eirunepe,-6.6603,-69.8736,296.87,95,100,0.25,BR,1712895565
235,saipan,15.1355,145.701,304.54,66,40,7.2,MP,1712895365
236,deqen,29.9618,90.7188,277.38,30,83,0.93,CN,1712895565
237,jamestown,42.097,-79.2353,288.16,99,100,3.09,US,1712895530
238,tambuwal,12.4039,4.6469,303.91,10,99,2.06,NG,1712895566
239,katsuura,35.1333,140.3,288.31,85,100,7.13,JP,1712895566
240,inari,68.906,27.0288,274.26,94,59,1.38,FI,1712895566
241,burang,30.25,81.1667,268.57,68,56,1.41,CN,1712895566
242,ghormach,35.7306,63.7826,289.39,75,98,5.26,AF,1712895567
243,fortuna foothills,32.6578,-114.4119,299.2,22,0,3.6,US,1712895567
244,sanctuary point,-35.1114,150.629,295.92,61,4,5.31,AU,1712895567
245,talnakh,69.4865,88.3972,250.11,96,94,5.04,RU,1712895567
246,hithadhoo,-0.6,73.0833,302.06,72,89,2.76,MV,1712895568
247,gemena,3.25,19.7667,295.99,85,100,1.33,CD,1712895568
248,chita,52.0333,113.55,284.09,32,76,1.0,RU,1712895568
249,smidovich,48.6,133.8167,292.64,42,49,5.93,RU,1712895568
250,nacala,-14.5428,40.6728,297.05,97,100,3.63,MZ,1712895568
251,santa vitoria,-18.8386,-50.1214,296.63,86,100,0.92,BR,1712895569
252,labytnangi,66.6572,66.4183,270.58,97,100,3.24,RU,1712895569
253,myeik,12.4333,98.6,305.26,64,12,0.73,MM,1712895569
254,conde,-7.2597,-34.9075,298.85,94,20,2.06,BR,1712895569
255,tulum,20.2167,-87.4667,293.78,88,93,2.51,MX,1712895495
256,malvan,16.0667,73.4667,303.14,48,48,4.61,IN,1712895570
257,salalah,17.0151,54.0924,299.41,75,56,4.6,OM,1712895570
258,kananga,-5.8958,22.4178,294.95,92,97,1.2,CD,1712895570
259,tambovka,50.0969,128.0489,288.7,55,100,7.6,RU,1712895570
260,el alto,-4.2714,-81.2147,296.61,69,33,4.6,PE,1712895570
261,melekeok village,7.4957,134.6367,304.46,70,75,5.14,PW,1712895571
262,farafangana,-22.8167,47.8333,296.35,93,100,2.72,MG,1712895571
263,las trojes,14.0667,-85.9833,295.13,73,26,1.92,HN,1712895571
264,ranikhet,29.65,79.4167,296.73,18,14,0.92,IN,1712895571
265,rifle,39.5347,-107.7831,282.51,31,0,2.57,US,1712895567
266,aykhal,66.0,111.5,255.68,78,25,3.74,RU,1712895572
267,poxoreo,-15.8372,-54.3892,297.15,96,100,0.71,BR,1712895572
268,kill devil hills,36.0307,-75.676,294.15,94,100,10.8,US,1712895565
269,holualoa,19.6228,-155.9522,297.52,89,100,0.0,US,1712895572
270,kone,-21.0595,164.8658,296.98,83,100,0.46,NC,1712895572
271,gonzaga,44.9498,10.8209,287.07,86,12,2.63,IT,1712895573
272,waingapu,-9.6567,120.2641,302.93,61,28,4.23,ID,1712895573
273,nchelenge,-9.3451,28.734,293.19,89,64,2.01,ZM,1712895573
274,idri,27.5,13.2667,291.8,19,25,4.53,LY,1712895573
275,menongue,-14.6585,17.691,291.06,96,100,1.77,AO,1712895573
276,nar'yan-mar,67.6713,53.087,269.88,98,100,6.26,RU,1712895574
277,bidar,17.9,77.55,303.01,39,32,6.96,IN,1712895574
278,vazante,-17.9869,-46.9078,294.25,89,100,1.71,BR,1712895574
279,lebu,-37.6167,-73.65,282.85,97,1,2.12,CL,1712895452
280,fort bragg,35.139,-79.006,294.23,82,0,6.17,US,1712895414
281,riscani,47.9572,27.5539,287.03,62,95,4.28,MD,1712895575
282,as samawah,31.332,45.2944,295.45,40,0,3.77,IQ,1712895575
283,kuala lumpur,3.1431,101.6865,307.85,56,85,0.36,MY,1712895306
284,punta arenas,-53.15,-70.9167,280.99,75,46,6.0,CL,1712895569
285,springbok,-29.6643,17.8865,288.81,26,54,6.93,ZA,1712895575
286,vadso,70.0744,29.7487,273.64,86,75,4.12,NO,1712895576
